LessonPlansID,StudentID,TeacherID,attended,student_behaviour,notes,Date
6,35,2,0,0,JDSHcenHcI2ih3rNbqp1adrmMilvG4PU0w7PNGc4MQtI3D47 1ZRXDs85TeW,17/10/2022
7,43,12,0,3,dv0qTM1fqlTggtQia9bx7e1cTVl9FBzfti0VAFffHSgiPVBSauiny5455aKN,26/05/2015
15,114,9,0,3,h82dO6ppw0rmuSTfjfpwFnXg4vABsNiW2Y1hGzXmQER5ZmUfMtH84TR0i6Uk,03/04/2022
20,111,9,1,2,SBXmN2YYoLCLWI1UFiHnpTK70lPBATJAEC1GGmOxcRcl6bxnjBei4d0 iBsE,17/02/2018
19,113,14,0,3,1Aibe2E3812O0OUPJwF NfizE9UW6LzSJDX5VAklqHt6LgARR7cV7cbVo39F,19/12/2015
13,41,3,1,0,bP wAjqegV alBSRs7NGFtqCdKoP5HG465DNcGjXYulHfcArb3eyDsMzNqz2,01/12/2014
13,105,13,1,0,4bRzWzxRBoXu1oSfRnTo42Ul3VGZUaXPzbN0P4B1aDl3Hyrj1FBdcffQRyZi,03/10/2021
14,39,18,1,2,tM6jwkzVQYIAOxR9sA3bYAYI46OYLv7ncosU CuBmrrdiiyrFvOLOfvdiKTa,18/04/2013
9,95,18,1,0,M4qzXDtpWw1YL0hq2X3C52Gmu4CaFfcIEk6D4M3N3jTR2kmOfWB7T6hdSMhd,21/10/2016
7,66,5,0,2,cymidm2d4B33N7kZ3np4uj97ilvyjuyJVlKRAYKncogMZ4ptsgTwQRGKEcs5,02/12/2018
4,82,6,1,1,0ZBe9eSgOt8dpX3PEXwm5wwpXn1NZlzYN9n0MAWabccZWDhTjw72YgYesefH,04/06/2022
11,62,6,1,2,T9Sq72AOmF2hLEOlGFp p4c5V10USDsBlmwqCmWvK2CcrlnxgEVIn9KsodrP,01/04/2018
7,38,8,0,4,bxz3NlDRACD5Ow1kvkEhLHgouu0xqu  xtGt3zxKByAnsEkClP3DFmzcieED,02/06/2020
18,20,6,1,2,H6Y6adw2Mo9NXLSufHT2wU7tUDgknSsVclYMkyGm2dVT2FN5Xzv2QP3yR5GD,13/08/2010
20,9,19,0,2,pW42V8JS9bgzoWioQbH3In1xno4AxP5Grjlv4kFas5JxXR3MyG6BTbgaFq8v,18/08/2013
5,25,13,0,0,9QFLtpqn8Vn0LiwiVPY28V2t2TeUPBTcszLL0FoQxOl9Be1rgug0VJ4woqE8,01/01/2010
5,113,15,0,0,3i2OYP27WtBWbfsIxHzV6t6gvQf8Qev2HCRReB4QGd8L66m5iLDH3tkvvDCe,09/03/2019
6,66,16,1,3,8RqDSQZfGUgDB8KY02noxh4d1pDLrNSn1m YH WoE5xM2iMGmw34u8e6fe4Y,12/12/2019
16,60,19,0,3,8mPRYCMGrji2BGHFTSXLgoBlyFrelSqDRzQ9xPQq3Yp31UjvIik6o9GiKdjd,18/06/2021
20,88,20,1,0,8aCp4Dka8AUEZsRdSVDwGUOI57je67sB8RF0BecD8fTVmG0FWqE6 9MBnL5z,27/06/2012
10,21,7,0,4,GwJ2Q kATFJrdYfvftCLIPAUHQJmkEwUYG06DuAeQOrYh2ma4 Ki8AhFe0In,03/07/2015
6,105,9,1,0,VSwel30jyf6ExyIfH7pU33zHHaZK3EvpmmafcwY84bf00KCOt18qWmsINAdQ,04/12/2021
14,117,19,1,2,sbjZ2UgqUXqaYVeQtu5Y6GE0d2kf7eFTMjz6zmeEZC3pMWx7d9y BWjukI73,04/11/2016
16,4,16,0,0,4BPOi52GXaUPDx3AKTtQxVOYEX0Ghd7OvQqGNcmAWFUkJshIhOaH2hrXvL74,27/09/2014
20,36,10,0,0,Pf8N BVRwVQpMQoh7QURpxk6hynx5KwqGbkOpgVNSl8QknoPmmKePZcAztjr,03/03/2022
14,12,10,0,2,OlN2cunEHl910e6stZ9yIiwMflj9AnwPIjzOClgcGJicRT94rBbHaKzhg3Gv,24/02/2013
20,87,16,1,2,tPWFYsog3XTxQzkzBmliDkvktM27pahqlDWo5DVhLdJy 10sDt7rNYLtQsYT,16/09/2020
13,92,4,0,0,HxYuh2w0wUCOIekeNz6 lxs9c05XOzEUniuJyAjawcgO9WMY5tHaDNw7rXZ8,11/10/2010
16,74,3,0,0,nXdhCTEgLznx8dXOtI8CORs6k0r5QApNDpmlwELNUZIMweNnT0s6vE9Gazp9,01/12/2012
16,63,16,0,3,hSGMyBQ2jYJhE37atktMojB6ftUtQ5 7BnqmezOIbvD7z1f3zZzWty6fU9 H,14/12/2011
2,120,7,0,4,GFoijWmsGEiuOyW6DCeMy1ts4KYimekQsBA63yZBlkzTSzGHqmgTTEq3Km2y,24/01/2011
3,50,4,1,0,CQjCC4V3lDzC7lpZJPqiCndkHDs9LVzCfuyhSkaUGTTFO0ZJwyoABmx9GrX ,22/02/2014
4,85,16,1,1,owfN noQ4JSr2qXn L2YOK9hkgofstCE7jC0a7kyUleaE6uOeuWc0r9AJTgv,17/10/2010
15,82,15,0,4,fWRfN01GPZogPPcj2TStbGDEL4Ahc0m2 f16kUAUt9z4BF54gBX5WwcmttYA,28/12/2022
5,54,14,1,4,jd30IMuMS3hjipwSI2fyv0E2EnVvnzgtyC6dloSFol6x2lwRahkp4lZtyU12,09/04/2018
14,42,15,0,4,QlN6WMghThpcDG0VM0 LhoP0fAYi0 RT1dAD6A RRL95T9fdEGD6ctKmKHth,04/12/2016
20,78,18,1,3,X9UTvPuBgItsYE omn6KzWdq b7uqeccFCOWW y6ZYUZKEMkZh2bGaRK9oP2,12/11/2010
6,4,16,0,4,c8vKo2H4FP Jv QBnGR3T0VWcH98gQ5c8Iz8LgJ6woZCaE6F9MN96sazvwrH,11/05/2015
14,103,8,1,0,YntES3Xa6O4PxVyGVuOUwNLiNqBCIpJJA1LzHwhIVIX35X kSo2JbPdoCpfq,17/08/2015
4,20,19,0,4,9Mh6 LXSYnnOl2iQf69o0DQc byupwpJIhP19WEwiQlkEna4eZr607dcuQRB,26/01/2021
2,44,5,0,3,wfLkMWRA9PHUxB5lFFLyQyv FY 9SW42jV9sXTpOLGnw2DVPj1TZNqiPSvGz,14/10/2013
8,95,4,0,1,WxLyzYz7cm3OKfsjhwaK3OB3jmM32xCKE9sWnGzZ2Pwjjb74SmXKn41bkoCx,03/02/2011
11,67,9,0,1,qtF4mjiB46T2kzK9FNl7LmLk6viti6f4ydNb3IwNkcSkCTrEY Ing9hrXHuY,24/04/2022
11,38,18,0,4,tM3F6PvqZQFOI XEUzTkRAqSNDSkvjXudCtPrKZVwcC0T T4Rk8u6DuQHPvi,16/11/2019
10,64,15,1,4,q0eAcMoNHgPO00pIoLgGgfCMgQauMnUrhWPO2  AyggdEztheyE73xRM7FRa,22/09/2018
10,22,14,0,0,VV44IunfaGaYOC0tb8g24P0yTSxCv8ufJcAxOhv4ISSCIRSk J9RWzyRszfw,18/08/2010
16,114,8,1,0,J86AaYPrWHxfogvQskH8aHoD ZU5wGztsZNQ5m8yclkPO 7I53YPyNThdIfn,04/05/2020
4,112,19,1,2,qSi2BMTVws k7jM2Uu9gui2JbJ hY8io3u XIjTRQa1wSmb15uUVqo hwdij,21/01/2018
2,35,6,1,1,KbzDuviUAUIct9U65XZAXXqZLJJaiuHWwF1F5ZYx3i81rd3hxv lapGzTLtQ,10/04/2018
2,65,20,1,4,3T0NBrDNnd1ktUBrcNgoXStjjfr5VmjRpoWzAIIIfGUAn4usVdWvKoPVMhX0,27/10/2013
10,10,10,0,3, CsZcr8x31BJJaOmuM4acDDhHY2e6VNdpx7xyAdDpJy23A98LwXjPwRNg630,28/05/2017
19,26,8,0,0,v FBIpX2HItBCVodTePvZAKXxAhnoxHvqhgDe2OjRVgR59sHyfmrvAuM16yD,20/03/2012
16,113,2,0,0,8Hc2iCeaX057WdPOYikFkjhp0PG7N6KgAelDSty9JAT8jEyso0igjJ iGw13,02/09/2019
9,90,12,0,2,I8zxHcIO2AgHSOOKYcJPaZEiYiP0xWcWnNG3 LUidY7XeQJaUWqk6JlgY4Ni,13/10/2012
18,40,4,1,3,4fNsbY52F6fLxVtaW86l2Ou9HRWtJIabtp1FhVxWSEjkKxx94d6Z5xPt9BJ2,03/12/2020
12,56,13,1,3,Jd2o3SXeU5f35WhNz2oGIaLBskuParE8fcogp1sURkxwahjeC8KIoKWqzIvT,15/10/2010
1,32,20,1,0,DWNZ6vYj6yxGX17t9bbAjlgQBVX2Nazh2zsWXScJuZWFXyNFgZU95TegM2eu,01/01/2017
16,75,19,1,0,6TJO9x2IUEtEsKyAo4TxzKVdcMTFimUKb7cSNbCbAW64flmEarZGEfRAvr4p,15/08/2016
15,84,12,1,4,HEU6MJPMAMo29ibCtFJfXcj LNjGNCoKO9Hx6glliRKwt UiRwu2UbrjrS5O,02/02/2016
15,87,12,1,4,qzrvC9VqENL7rQ2E08DOzt9e1OC8iTgrMBwn6q9RO4KGd95i KEuMfza8foo,27/05/2018
5,2,17,1,0,5757SfVVb7TnxUtmlxm7g e08fiP9CpeVTxQVID7pntmi9euDv6v9DEqpH6D,06/05/2022
10,12,16,0,1,Cylt lmRcTWrTHm0DHzpgGYvv1ltm4G3WueeLtjhxRdkaErcxTcvhQhytXjY,10/09/2011
4,111,9,1,0,czlPs4YBPtxKKg1f9zSGtzzHJRoPcDhBYeNJHADTYKSHV1iMAXKUlRkcP37K,15/07/2022
16,23,2,0,0,llcTURr0iVDh9ZmMXgcPidPc ZkvFG3XM6nuSnWRMArYeSv3dS m36RBHgTz,20/10/2021
15,34,15,1,4,jtXJ6Ne2OVqx7aOGi4vUUPkFSQYM2Om 0vgFaXnRvzkuAa uqsZ9g06qk1ua,17/04/2022
1,78,18,0,2,CAdmSgrgHetynsYaBCvKJcI9QMYb2L506b4yhmyOJ1blYhKJ5UCPjdfW5NbB,07/07/2017
17,9,5,0,0,wG1nGlZwexCPMNWIBpm qZRvJWopMH4q4Q1nzymMw2QEDOJPbeTIvnVgswK2,05/09/2012
3,38,8,0,4,CTKO aGJC8SgPXNeOg9f yMRlQW4tnlU5a6FiebMf85bvEVHZbbLjUOtPFu7,08/12/2019
8,2,13,0,3,gLolpj JA7GG6vKxkO0GUjCXxIfGQr8yzaYA9vaIFwPEiVik29UnGWS5Vcy2,26/06/2019
13,38,4,1,4,NdQGpJIZXrCc IidGlCmHWkUxDAmxDzW8NnHEjXfJ uCcWlMSwNBkc9D66dq,03/05/2021
1,109,18,0,3,lz9eRQorNSeWukMAmVdyhTdAch6VTKIkffqFocfaHUAXQUu6e1mxWgMzdKtt,08/05/2020
17,29,7,0,1,0Nmxw7fh3VVCax7U1bD87MyGYopKootC72LTesBwiZ9OeqRxR3tG4pujaru0,22/01/2010
16,20,20,1,4,4 SJZV3C8Zs2mLVAaTaL2niR2T1d77Ju5CstTROZaQfXSi8NJACy2UMVnDMi,13/05/2012
13,95,4,0,2,2Hzpz CowJS1Sx2cp2Oz205cys3gIkwULSLokqjDK7zHie5CMnbq3Mx7BOPZ,23/04/2010
20,39,15,0,4, qpc0rNcyrqVEnxRCR52xO3tzIGnSKlrM7qcLpYrT8jZIznS5v7SCkSRzDe6,23/02/2010
11,101,11,0,3,v1JBjgAJy5NgrRX9wFvTBd5m6qjE51FHy6CAjn3hJRZfXX0PFewAKnvAtgDG,18/03/2022
5,92,5,0,4,s9qUawj9iiJf744lLwxVKsYW05QAhbGb9pQVAZnfFynzEdANusaMejPzgd l,23/08/2020
2,43,15,1,0,ZX8tjEN kk3Y7QboBxf8and4jbIKyY6s EjKQT17C0Xcz1rRQuk vc0tTOLz,10/09/2012
7,77,10,1,0,V6YVFKjJQokTBa5Cy71PUJe6FegwgXhBT JQO5kKZbWfWrRMEdl83RQnEpub,02/11/2020
7,49,2,1,2,3I9MzDS8QOnLucvxfb9vwiBKaJLtt0t5HzhhwrH2ZJkh8lLKst2lKB4rK9sI,08/03/2018
15,37,11,1,1,GjPaSCQwrMPEnw8TfKb2fJ4CkreYxt4ACkxzdy7X6rEnOdITZjaP30mANWW0,19/10/2010
19,107,12,1,3,8Vrw8D OivhVMosPk9snA9q6XMSM8OXfioNSzPOrQnfvDs fCtSfz1xzTMNR,14/01/2012
14,83,9,1,0,iBFuYq3uBU2Qb13cidq5Vh8Pt47tg0BsKN5Oh5bLZpN0ilfO0rW4vnPV8IdO,05/03/2020
11,88,7,0,1,i9Umjm2U2n8vm7ckF4mzxygH7MvJUJ7Z3 895bz329uWhkjRlY5dOKI236o2,10/05/2022
16,80,1,1,1,uHzzN9U1kYfhCbsd5j6H56ahxzkVLljnv2oL5W2LecNWydkfk4YnrEtelmeJ,12/02/2019
3,14,4,1,3,ASj6sISDsfS DhARhMkXW3LUCyRXDVmR1fyC534MVbwlkhAa70e8akcN22vp,15/02/2020
7,114,6,0,1,Vpe6ZgAbcV0erry1NircKaV61SQpyVnfQN2FcmWkppoyMxbjJq1UOjievI9u,08/10/2016
8,45,14,1,3,TCqXuDUVuEwvcw X5pgYMWqhUbLncZIs4crCw6NtmKZ01KwidYG dt2jM7im,22/02/2021
2,75,15,0,4,WcReIJXs5TEQxej9sf9zX YkUfA8sXgEVJrbAHnSV5kajIvdLrkaAxE6uC5r,05/01/2017
16,67,7,1,4,hjGdtu0F64vc6xOwavHGs4T5kIKOuvZBYL3ZpjWFAdjZT7OBaorRTZrdqO80,10/02/2022
17,40,18,0,1,a7Ki6PR b0scx7COD8hztUcV38pS0SGkVdvEiJseSBfUT IHofPyfsv3XPF ,09/02/2015
18,91,12,1,0,3ICfoI4OHYpaSw86yyZ5wcrfJjLw8oZgCj8aSsLrpTsTKMxyxVtXziRDUJsD,03/04/2013
9,83,15,1,4,YMfIxtBEdLxmf6aDE NeHWMH0qDEIzSPbHcddyJfmht9QfDQ5kH2i2C6xZ7O,24/08/2016
13,32,20,0,1,zcDkHDxpf7tV4LcLCgQfUaXhV0WUPyLolhbdQ8qD33FonZPMleW609xtDDb1,11/02/2021
20,24,16,0,3,axTP1J3LQBOUEsR9LrZrWpuKsBSjKa9t7WrvMVrSM8VydO32iimoYu08uax9,01/01/2021
10,53,9,1,4,bVD64dtwYeNF1YfZ5jbALND3jZxiAy5UJ9swCI2VbpvzPPuC6ZmP6k4nHjO2,01/01/2021
7,9,17,0,4,61MMH sZGkXZKwSVArhHZkHHo JOs9dQdHxVsmQZvVVSXFjeNptNhmRSwPtz,10/11/2021
8,68,19,0,2,u 5zqUjvZaZ46t1x0KwBwdxu 2CTFYE61QXMVTfiLfpDCiKpsNi41D0f78wQ,25/11/2012
10,54,17,0,2,DXB2ixQwlMIL36DwEr4eonAmkiHbs6UzzDOGLJd2Kgs2cV 35GF3ZqMyBJu ,13/04/2021
13,40,18,1,3,GsNdPVbb iSbYdCNiaYOOvbDjfIU3OC2imK03dl5T7GPgKN2HsT1GRkdPmNQ,16/08/2010
10,110,8,1,4,Loi3jMK7OA1RzpDS9UzMD90iJKcrjG3BaG4O4ClCiW4jYy3WrCGzt7Mpwdjr,23/02/2020
20,108,19,1,0,1U3xyQ02 S1NH8GEejjLIPKOWyLvCEJz7mlg58lAg4naOfENQ DDu8UFwkLY,01/03/2017
14,41,18,1,4,r7v66ZQIEy39inYnD5nevBwoyD6otAmBAoTYl9MGr7DIbGJNE4SEqTsYWjau,05/08/2013
16,31,3,1,2,cyuMuUggVYO16CgusMdbVt2VmfGKs1DyoDZ3ZLBp6t4A8YFx9wR1zWxljYf ,09/11/2015
1,109,2,0,2,17lfJUIILH aXO w2MIQT1o45pUednJvw7IFVvleBewBPEjAR5uLubIzCQLz,22/06/2015
1,26,13,0,4,uAfCkgHt84Q6vqfDsUiGzToVDDHYWnNM3wuAof83eHajm56bwxcJRoHgczO1,04/05/2016
19,19,12,0,2,Zjzpo9aHUAK9HD3mWqcetic7pDewUWjEwDU063fTKjrdgCtxJ3yj 7jWqw7H,02/06/2012
20,63,3,1,4,ihELEVLdxdinchDeMypLV1jgeTdXG5g9ULR86P36VGuSjo9o3keCb9UXYsqy,19/09/2018
7,63,15,1,1,02t x6ipOY3pjxpVppohjOGvGQuuGF1GBRPLCTgAD4zKYmro7vQpgnmCRg2v,20/03/2016
17,64,18,1,1,KO26opbyoS1y9MUNxKSYqrRAaiWJsNGrNMlf0zacFWdKnLZmrRglgDmElnGP,17/12/2020
19,50,17,0,0,1sKRZfKfnEMaTpM0ifniSFyYkWU1SVt0pEOTZFaPI67j5AFwofN0SSvO92Fv,14/12/2011
13,106,15,1,0,hq1yx lEPdm6vWj4A8AIa1ChdYu8IhpOl1E9DXqWcZlofwbLv8yNZKhPhEaP,18/10/2012
12,71,1,1,0,8Zo52lr102EBP5QrJsmQ1HSYIeU1ZLpdHnmnC2weK0MwS EatC DaFOUhjtk,11/08/2012
15,54,12,1,3,6oh6jhZi8MLsWll8MMt1rUxizMuc0Vpk 4jk553H95YYhOunuh6fdb61EmpR,24/04/2010
6,46,4,1,0,KLzQs12maGcloKepYFemSmU9 EpVSiUvdhotxBlo3XFjDLlLfBGSqOlPxc34,01/05/2022
6,99,14,0,0,uQLoeUzQCND8OE2QZU4ebUCZJ4TKYddILOKAe5X28l0DuOZtbhHpZXAS txd,25/08/2014
19,66,15,0,2,D3iaIzrz0SO0 o3ZqW3RFKCKNU5jZN4ZNZDIm08vncFJLsR1 h U2YuLFJY9,10/01/2018
19,69,14,0,4,AHe7mem614IRc8sCpn7O6W37VETNPAv7ed1au363 UgDPtxIZkKteVTHTCSd,17/01/2013
19,75,8,0,0,6uRGEeNx8Jinq2ped7Rp4E9W34QykNxybsTCVNd6rPi2va4jwWWVFqDVlAMN,28/04/2018
20,77,17,1,0,qBjS44jxK9FbXNbIUcopK50guYn5LWk kdCI4b5vUbGuEoi7wcQCzSEdaX9G,10/07/2022
2,33,15,0,1,SwhxDknetv1S40fyiFv4puS7DsGHTIeMbrktrgOghtRuIo4qZs3ThbriIwWG,10/05/2013
2,76,15,1,1,9mClXwP5RnYCKTe700hmONd3G3tiPY3ivJ4fzMP6fdY8crKTdVgo99RHvGUK,09/04/2018
13,27,2,0,2,y0Zs3yE6wDGBdolINIKmj3Q94UiBuveam3edcuGxv0rljgQyP0yUvSZXbPnY,08/06/2012
19,81,12,0,3,qpY5MkiUX5r0WWEo4NJ3V1l0awI11Q Ujai8yA0ymjEhjDc1uAeeLQKnmZt3,15/08/2020
13,48,3,1,0,C19yocmdvOrRrnY4BkUAJFJDZIC4ANMNCWJSh3hxJR60jQggZkyJda2EhE5y,21/06/2021
1,100,10,1,1,JAewDCov9XDsCIjpjo5tVvS0UbTCMo8sgRp4R3TMFIvOU3qp0FAIIvqEwe00,14/04/2019
4,117,11,1,2,mQQsYjTBq8mpUkd ppcKQGC0aQAGsj4jxxkUUMIIKHG1ziD0YmjqFf SQopt,04/01/2010
2,37,18,1,3,tLo7Oior1YHabA0ormGFR6Xrm7nXox4L2djom6gphp0s2AI5iiZYlRc8pe6X,16/09/2019
16,116,11,1,3,ko8jbGnUS9ab2 iTCt2txTl1uM n2yEE4doYCHzX75HgQ9BzM3xlAOrjiwnb,14/06/2010
20,22,11,0,2,J5z86AfJ5N5GCH0Wto4qTnzGfDBetxhd Tr6aQsXgfReiRt45qOPJgCq4pOj,25/07/2011
15,5,5,1,3,iOAjoQh1ROi4UNpO7cbqEQJYiTYdRhCDNdHqV8TVXEjM5Ghw49k9SF5gOVwK,04/02/2019
18,106,2,0,2,t89qLSagk2nejljj43DksukDOe9C6H42ImeoJWs8XDFVnKvLp79js7Rgy3bf,16/12/2018
2,21,2,0,1,CySQfiJIUmGNubcoBnCfEhs5rteW8ggoQVlEx5x4kTccGP2OnedJgci9YYxO,05/06/2016
