CafeItemID,count,date
296,7,19/12/2018
21,14,21/10/2022
349,14,21/09/2021
457,13,17/06/2019
405,7,18/09/2018
109,8,04/12/2019
252,12,20/05/2020
352,9,16/09/2019
259,13,24/06/2021
148,13,16/07/2022
58,6,05/10/2022
128,10,06/08/2018
332,9,23/01/2020
319,15,15/02/2022
362,8,07/06/2022
299,12,18/01/2018
475,15,04/03/2022
357,8,17/11/2021
302,10,15/10/2020
432,15,19/06/2018
358,2,03/09/2022
318,13,08/07/2019
286,15,09/05/2020
390,9,24/04/2022
300,3,27/06/2020
180,9,20/08/2020
103,3,16/07/2021
37,5,08/12/2019
225,1,20/06/2021
181,6,14/01/2018
195,13,22/06/2020
157,12,06/12/2022
74,13,21/02/2020
393,14,13/07/2021
136,13,11/10/2018
197,6,28/09/2020
423,7,12/01/2021
431,11,19/04/2022
295,2,15/08/2018
415,12,15/04/2021
402,6,12/06/2022
418,3,28/06/2020
208,10,14/05/2021
497,9,08/11/2022
378,10,09/05/2022
413,11,28/08/2022
447,14,11/07/2018
90,14,01/12/2021
220,7,17/09/2022
160,5,24/09/2018
263,13,06/08/2020
221,9,01/11/2020
150,13,13/12/2018
466,9,10/03/2022
457,3,27/12/2018
219,7,19/06/2019
77,1,22/02/2021
93,12,24/11/2020
46,7,12/11/2021
443,10,23/03/2020
188,1,27/10/2021
259,7,19/04/2022
250,14,18/11/2021
474,4,18/07/2019
111,14,28/11/2020
318,11,08/11/2020
72,13,17/04/2018
2,9,10/04/2021
296,5,16/07/2021
19,6,06/06/2018
128,14,01/07/2020
395,2,02/08/2021
426,9,14/03/2018
370,15,11/11/2022
45,14,13/10/2019
164,10,28/08/2020
28,8,26/11/2021
424,9,15/05/2021
333,5,05/06/2020
334,6,01/04/2022
33,2,01/04/2022
97,4,22/04/2022
112,6,17/05/2019
46,14,10/09/2020
301,9,09/05/2021
414,15,25/11/2019
203,10,27/05/2020
415,1,24/05/2019
83,7,16/04/2021
300,3,12/06/2022
353,10,01/04/2022
431,8,19/02/2022
346,12,17/09/2020
483,3,25/03/2019
206,14,14/12/2018
160,1,07/11/2020
121,4,19/09/2022
167,14,07/09/2020
328,6,16/07/2018
312,13,12/07/2018
382,14,14/02/2021
261,1,27/06/2022
321,14,05/11/2021
480,9,07/02/2020
438,10,12/03/2018
290,12,17/11/2021
318,4,23/10/2022
238,12,08/09/2022
82,11,13/05/2021
392,6,19/08/2018
329,10,27/11/2021
228,8,04/10/2019
281,1,15/10/2021
173,10,15/03/2018
389,10,15/06/2019
142,11,28/04/2020
207,10,11/11/2021
468,1,17/05/2020
305,1,12/08/2021
130,14,02/06/2019
43,5,13/05/2022
161,2,28/03/2020
193,1,28/12/2022
337,12,25/12/2022
111,10,28/04/2018
468,14,20/08/2022
386,14,26/10/2021
138,7,07/12/2019
232,7,08/02/2020
18,3,01/01/2022
458,5,05/01/2018
317,8,26/02/2022
152,11,03/10/2022
306,7,20/07/2019
187,7,03/10/2019
382,5,15/01/2021
288,13,27/11/2020
270,4,02/11/2019
448,8,27/10/2021
272,11,15/09/2020
26,13,10/08/2021
306,6,28/01/2019
235,14,28/10/2018
241,3,13/06/2018
265,3,03/09/2018
330,2,06/09/2021
67,13,18/09/2022
127,8,17/03/2019
9,15,28/08/2020
32,10,26/07/2022
231,4,16/07/2021
243,3,08/05/2022
126,11,02/02/2019
488,5,07/03/2022
445,10,19/03/2022
356,12,15/02/2021
317,10,25/01/2019
260,12,09/11/2022
294,10,24/10/2021
438,3,23/02/2019
192,15,27/02/2018
334,5,28/12/2020
10,15,27/09/2022
102,4,06/05/2020
443,10,17/07/2019
485,2,06/01/2020
200,11,03/08/2019
37,5,02/10/2020
344,8,07/09/2020
19,2,19/02/2022
124,2,12/01/2021
90,4,03/05/2019
432,14,20/08/2018
210,8,09/05/2021
498,8,23/10/2022
426,13,23/03/2022
31,8,19/11/2019
90,15,18/06/2018
159,11,20/01/2019
376,3,09/07/2022
444,1,21/09/2020
84,5,20/09/2020
36,3,06/02/2018
336,2,20/07/2022
230,2,15/10/2019
406,4,02/02/2022
424,6,02/04/2018
170,8,07/09/2022
121,6,20/11/2022
98,2,26/03/2019
270,5,23/07/2018
7,2,21/02/2018
21,2,09/10/2022
19,15,28/01/2018
167,14,01/03/2018
238,10,18/06/2022
420,12,19/12/2022
371,10,01/06/2022
340,2,13/01/2020
249,3,26/06/2020
478,4,28/07/2022
320,8,04/04/2019
13,15,16/08/2020
415,3,26/01/2022
11,2,14/08/2018
489,4,09/10/2021
106,6,03/01/2021
136,3,01/06/2021
369,5,03/10/2021
106,10,01/03/2018
419,3,02/11/2018
110,6,17/08/2020
178,10,23/12/2019
74,6,02/02/2018
86,10,24/12/2019
96,8,01/08/2022
176,3,27/05/2021
181,13,21/08/2021
281,15,21/03/2018
378,6,05/03/2018
346,12,05/04/2020
48,12,23/01/2020
418,5,18/02/2022
295,5,11/10/2022
230,14,16/02/2019
149,13,09/10/2019
457,8,06/03/2019
371,2,27/01/2020
417,15,09/05/2018
101,15,03/12/2019
159,5,27/01/2020
63,9,08/06/2021
25,7,18/09/2022
111,8,03/05/2018
263,12,02/08/2020
51,3,10/11/2020
98,2,21/12/2020
211,15,22/09/2020
441,4,09/01/2020
264,7,08/06/2018
373,10,21/06/2021
187,2,13/05/2018
285,7,07/10/2018
268,12,06/06/2020
113,3,12/08/2018
186,3,19/11/2022
343,1,10/02/2018
494,5,28/07/2019
120,14,19/01/2021
154,4,14/12/2022
309,4,28/05/2021
298,9,28/04/2018
354,7,21/05/2019
469,13,03/06/2018
49,14,27/08/2022
1,3,18/01/2019
498,15,03/06/2021
201,14,27/08/2022
344,12,26/03/2019
171,5,24/12/2019
173,13,05/07/2020
493,9,14/10/2019
282,1,03/03/2020
71,1,19/05/2021
393,11,07/04/2022
329,9,16/01/2022
63,2,24/11/2018
36,7,06/08/2018
485,4,15/11/2019
497,15,08/11/2020
368,2,09/10/2021
118,5,14/03/2018
420,9,26/04/2020
396,2,22/03/2021
191,14,27/09/2018
344,5,27/01/2020
29,8,25/01/2021
243,12,17/01/2018
185,12,16/10/2018
109,13,23/11/2019
399,15,14/06/2020
320,4,01/03/2019
345,7,25/02/2022
192,11,08/07/2020
13,6,17/12/2022
443,1,19/05/2018
474,1,01/08/2018
245,9,02/11/2020
136,15,25/03/2019
265,4,17/04/2022
42,1,25/07/2021
259,11,09/09/2019
11,13,07/12/2020
113,10,15/04/2022
112,12,13/03/2021
80,14,27/03/2018
14,6,13/02/2021
383,6,07/02/2018
349,1,17/12/2020
119,14,10/02/2021
131,11,20/02/2022
161,3,21/06/2020
307,8,03/06/2018
168,2,07/02/2019
223,14,11/07/2020
183,9,17/09/2019
353,1,06/04/2019
244,12,18/11/2021
379,14,18/08/2020
348,8,08/03/2019
297,7,06/08/2020
480,14,10/01/2021
135,9,24/09/2018
7,9,01/02/2018
85,8,20/01/2018
184,13,04/06/2019
180,15,10/02/2018
65,10,23/11/2019
283,2,21/05/2020
290,5,14/08/2019
200,3,28/06/2019
237,1,16/09/2018
254,15,10/06/2018
19,2,13/09/2020
314,7,18/07/2022
236,14,09/08/2022
11,2,04/06/2018
259,10,06/02/2021
42,14,17/04/2019
428,13,26/03/2021
308,15,09/05/2020
474,7,15/06/2018
496,3,21/09/2022
447,10,16/02/2019
38,14,26/03/2021
417,2,14/02/2020
126,7,05/01/2022
111,2,08/09/2019
33,1,08/01/2021
106,9,09/07/2020
39,13,27/07/2022
2,11,18/06/2019
63,15,06/10/2020
71,11,08/03/2021
496,3,27/07/2020
325,10,21/03/2021
407,6,15/12/2020
56,14,26/04/2019
370,8,16/04/2020
112,8,04/01/2021
422,12,06/06/2020
314,12,16/12/2020
280,8,04/12/2018
53,9,06/06/2019
387,3,20/11/2022
235,7,07/05/2020
155,1,27/10/2018
254,11,12/06/2019
28,5,12/11/2021
58,14,25/02/2019
281,4,27/12/2018
175,7,26/05/2021
470,15,28/11/2020
369,14,28/10/2020
237,2,22/06/2021
26,9,02/01/2018
18,4,05/08/2018
467,15,21/04/2019
267,12,15/01/2019
74,15,22/06/2018
5,4,06/09/2018
145,12,11/06/2020
415,8,28/01/2020
296,12,11/02/2018
314,9,11/06/2019
226,4,10/09/2018
368,5,08/03/2018
473,10,16/09/2019
339,9,15/03/2021
58,9,08/10/2018
146,15,17/01/2019
120,9,14/10/2021
272,7,21/10/2018
429,2,20/03/2019
151,5,26/03/2022
468,14,14/08/2022
171,1,08/10/2021
144,4,27/12/2018
459,12,24/10/2019
411,11,07/07/2021
161,10,24/06/2020
72,9,25/03/2020
482,12,04/01/2019
209,5,23/02/2022
400,8,06/12/2019
426,11,14/05/2021
452,14,02/11/2020
399,12,22/05/2020
22,15,11/10/2019
427,4,17/02/2021
239,7,19/08/2022
426,13,03/01/2021
199,9,18/05/2018
319,4,05/06/2022
187,15,24/04/2019
165,6,26/05/2018
418,8,01/10/2022
273,6,14/11/2021
367,2,07/04/2019
363,10,15/06/2019
