Brand,Type,Model,Price,serial_num
Fender,Electric,SG,1311.49,871C2D1NLL
ESP,Acoustic,Explorer,433.06,UMICC8AL8U
ESP,Classical,Stratocaster,1145.59,GQB9ZHZX9E
Ibanez,Bass,Stratocaster,1328.98,K1LMIW0ULW
ESP,Electric,SG,960.53,C9DXUEJ69K
Gibson,Classical,Stratocaster,899.05,0YNCTCYGZQ
Ibanez,Classical,PRS Custom 24,884.2,3HGCXBTUSO
Epiphone,Electric,Explorer,322.77,DS6W5MILWG
Epiphone,Electric,PRS Custom 24,1398.63,KTAJU4FVYU
Ibanez,Classical,Telecaster,63.46,2FBPR0ZANU
ESP,Classical,Explorer,163.77,367D2C1V1G
Gibson,Classical,Flying V,624.04,HMIGS903NP
Schecter,Electric,Telecaster,483.78,V8SSX866OO
Jackson,Bass,Les Paul,885.92,N8LZL2HZSV
Gibson,Electric,SG,1785.11,1072RTDTNQ
ESP,Electric,PRS Custom 24,132.45,8U3V99HX4J
Epiphone,Bass,Stratocaster,532.25,G69M2DC9TG
Epiphone,Electric,Stratocaster,66.29,R47BJZ5KL2
Ibanez,Electric,Stratocaster,1228.6,6JGJEMJUU2
Jackson,Acoustic,SG,1950.09,UWEAW53PMW
Fender,Bass,Flying V,1075.46,KV50AENPJF
Jackson,Classical,Stratocaster,1398.32,FQ0UVXLRQJ
Jackson,Acoustic,Explorer,669.05,WFSNAVBFOM
Ibanez,Electric,JEM,1491.37,CPIO3V2657
Gibson,Classical,Flying V,1697.79,SABZDMIMIS
Epiphone,Electric,Stratocaster,960.19,X7RJPH1CU1
Ibanez,Bass,Explorer,370.74,SPV470S5R8
ESP,Classical,Telecaster,473.27,0IC2M7N38A
Ibanez,Acoustic,PRS Custom 24,1327.06,X0AOPHYXZ7
Epiphone,Classical,Warlock,232.61,XU5JMZL0SU
Epiphone,Acoustic,Telecaster,1916.87,LZ803HTC5U
Epiphone,Classical,JEM,606.15,KVQYOHOZJH
Epiphone,Classical,Les Paul,1278.7,M1PWJARS4A
PRS,Electric,SG,157.58,6PL2EY0JST
Schecter,Acoustic,Warlock,1000.95,ZA3JR7QQ1I
Epiphone,Bass,SG,1454.08,M89GMYIU2Y
PRS,Classical,Stratocaster,1415.04,E93RIQJGMV
PRS,Acoustic,Flying V,281.74,T6NELX5WGG
Fender,Bass,Flying V,560.11,SYVZ409H6Z
Epiphone,Electric,JEM,456.44,FUD0238FDN
Epiphone,Electric,JEM,1653.21,FYV649Q5A8
Ibanez,Acoustic,Stratocaster,718.94,UGMW91FAAR
PRS,Acoustic,Warlock,1265.89,ZZIH8SO0GS
Ibanez,Electric,PRS Custom 24,706.87,67YFP3A9QD
Epiphone,Electric,PRS Custom 24,317.17,3U3GB03G3N
Schecter,Classical,Les Paul,1615.12,JXL06JJS8X
Ibanez,Electric,Warlock,1818.17,A4BZMDE5UZ
Ibanez,Classical,Telecaster,70.0,U97U1ZM2CS
Fender,Electric,Les Paul,283.66,KE8EGA8L7E
Schecter,Acoustic,Flying V,95.95,6KX420P1TT
ESP,Classical,Les Paul,670.81,YXBFMAHZZO
Fender,Electric,PRS Custom 24,186.86,6JG2RX67T8
Schecter,Acoustic,Les Paul,226.3,Z8EZW34CIR
Schecter,Electric,Les Paul,1518.65,GNPXTMELNJ
Jackson,Bass,Telecaster,1747.02,E3BRRMKU0A
Gibson,Classical,Les Paul,1498.15,DDO9GVTOHL
Schecter,Electric,Flying V,794.61,1QUAGYG7TE
Epiphone,Acoustic,SG,599.35,W4VQODVXWR
Jackson,Classical,Les Paul,295.73,18JC4OZWGU
Jackson,Classical,Les Paul,1843.31,TPRJFJP9C9
Jackson,Bass,PRS Custom 24,1938.96,TQRS2G6TRM
Jackson,Acoustic,Les Paul,1694.7,7BC7ISLRSJ
Epiphone,Electric,Telecaster,1277.17,WBF5DO45CK
Gibson,Classical,Flying V,279.56,8O1HQZ93EP
PRS,Classical,Stratocaster,1023.38,A9HA1H1L2O
PRS,Acoustic,Telecaster,1977.72,2UNDDUMXOX
ESP,Bass,JEM,434.65,2VCPGEBNDZ
Fender,Electric,Flying V,396.58,Q51WKBFPX1
Jackson,Electric,PRS Custom 24,1755.17,YSR6QBC1NV
Fender,Bass,Flying V,1528.23,JPVWAH7482
Gibson,Classical,Stratocaster,152.11,5BZFHBQ27Y
Schecter,Electric,Explorer,330.75,YIS52QY6D6
Jackson,Acoustic,Warlock,1223.04,4Q28708JR1
Fender,Electric,Telecaster,968.54,0BYMIQ2W0A
Jackson,Classical,Stratocaster,760.2,DUN2H4HX3J
Fender,Classical,Telecaster,1190.85,TSFIWIED56
Schecter,Electric,Les Paul,521.12,9UEJINVB08
Epiphone,Electric,Telecaster,325.37,D1BWQ421XV
Jackson,Acoustic,JEM,1908.06,JMX14KL66W
PRS,Bass,Stratocaster,1622.15,36EN1J3VKR
Epiphone,Electric,Les Paul,207.38,SW9L8UCFSF
Ibanez,Bass,JEM,964.12,LSXE68U02I
Epiphone,Electric,Explorer,1588.03,4W8PM4EL0B
Jackson,Bass,Stratocaster,1037.88,S345HWDRW8
Schecter,Acoustic,PRS Custom 24,398.54,P12DO8N3UF
Epiphone,Acoustic,Flying V,243.47,Z3ML513QNL
PRS,Classical,Warlock,669.38,3AJOENK86W
Ibanez,Bass,SG,1583.93,MV2KJJNCUS
PRS,Bass,Stratocaster,1671.69,E0Z2O0NQ4N
ESP,Bass,Flying V,1863.29,7QSDPF9F7P
PRS,Electric,JEM,1044.64,ZSBETYWXAT
Ibanez,Electric,Les Paul,1336.14,AEDLGOPS46
Ibanez,Classical,Telecaster,1478.98,ZTFGGJV6TJ
Schecter,Bass,Stratocaster,835.79,OGWUGKON35
Gibson,Classical,JEM,196.38,QUYLFD1T1D
Fender,Bass,Warlock,1052.13,K202VPY59R
PRS,Classical,Telecaster,1180.27,Z77FWGECX9
Epiphone,Acoustic,Stratocaster,586.4,1HFSCN7PCW
Gibson,Electric,PRS Custom 24,1509.85,3I98D9K7BJ
Schecter,Acoustic,Warlock,64.01,2YE4ROSZTM
PRS,Acoustic,JEM,178.59,W4A79R4P29
Epiphone,Bass,SG,100.63,GKKFET8YDA
Ibanez,Electric,Stratocaster,838.19,Q3YPXAN3BC
Fender,Bass,Explorer,1257.25,H3D7GEIHZM
Schecter,Electric,JEM,781.37,8OSUC2NG3M
Gibson,Classical,Les Paul,1495.19,MVR7ENSVZR
Jackson,Bass,Telecaster,1933.37,D1L0N2B0PX
Gibson,Classical,Stratocaster,1441.56,4PDU8SSVK1
Ibanez,Electric,JEM,419.4,KOFE4M4RCC
ESP,Electric,PRS Custom 24,1087.28,H86Q66OZLI
Fender,Classical,Warlock,460.1,CDM8R8RXBG
Schecter,Acoustic,Explorer,71.99,VH1FN713X3
Gibson,Classical,PRS Custom 24,1393.09,I0RISAH5UI
Epiphone,Electric,Flying V,710.68,RQ67WYI2R6
Gibson,Classical,Stratocaster,1907.07,HC4T8GDWL8
ESP,Bass,Telecaster,1404.56,3M6MY6OQ58
PRS,Acoustic,JEM,720.82,PIFM20CPSB
PRS,Electric,Flying V,1974.39,RFPWSP7R51
Fender,Bass,Telecaster,1564.36,YKZQ3R2RVE
Schecter,Classical,Telecaster,1970.09,J2MUH309CV
Fender,Classical,JEM,1394.84,PWLS26THEA
Schecter,Classical,Explorer,999.01,9IRQGHJLFK
Ibanez,Classical,JEM,1137.38,TBFZYHXPFV
Schecter,Classical,Stratocaster,1096.14,4H1NB1OXP1
Gibson,Acoustic,Les Paul,743.22,BRI4W4IIRI
Fender,Acoustic,JEM,552.32,M428Q3ZBLU
Fender,Classical,Telecaster,311.98,C03EGZMPYA
Fender,Classical,Flying V,1589.17,G0J8SPPCUB
Gibson,Acoustic,Les Paul,1100.08,0HL9S5C98J
Fender,Bass,Flying V,317.39,5RLYLSRY24
Ibanez,Classical,Explorer,1944.97,WQ9WTWJIYY
Ibanez,Acoustic,Explorer,1922.73,BT4KNAYXUO
Jackson,Bass,JEM,208.71,ZRAY84038K
Schecter,Classical,Telecaster,1751.08,WG9RJEOIJ2
Gibson,Acoustic,Warlock,1795.42,T9JZBZGTPB
Gibson,Bass,SG,837.69,0UZGSIV9M1
Jackson,Classical,JEM,709.9,G03S7NDLYE
ESP,Bass,Les Paul,1608.82,MB1G558DCC
Gibson,Electric,Flying V,1724.36,F55JUMPOZJ
Ibanez,Classical,SG,1787.81,8WQIBZYPPP
PRS,Bass,Telecaster,350.61,9RATADTMWK
ESP,Classical,SG,205.58,ODEW1ZNWSL
Ibanez,Electric,PRS Custom 24,1020.63,95LZEE43UM
Gibson,Classical,Stratocaster,1585.66,75E8ROUDFD
ESP,Electric,Telecaster,1579.94,2DDATKU29Z
Fender,Acoustic,Stratocaster,1130.37,BCZNFJX08S
PRS,Acoustic,Flying V,1284.24,FV7H3VI6ET
Schecter,Classical,Telecaster,170.76,KSXBOTZ2GV
Ibanez,Bass,Flying V,1574.06,55N9F9MFLY
Fender,Classical,Les Paul,684.2,Y6K64ITE6D
Ibanez,Bass,Les Paul,1059.61,TB8HI5741X
Epiphone,Bass,SG,189.01,V710WODHO5
Gibson,Acoustic,JEM,1238.52,BKC02LUOXP
Fender,Classical,Explorer,167.01,XOZALRHSHY
Epiphone,Bass,Les Paul,85.98,WQ5GQR6PIS
Schecter,Bass,Flying V,467.68,N5GQP1IAEN
Schecter,Acoustic,Les Paul,1014.25,5BDJDG3LDY
Schecter,Classical,Telecaster,992.17,D5JNMCKYD6
Epiphone,Acoustic,PRS Custom 24,903.5,JHMWC4SD94
Epiphone,Acoustic,Explorer,443.46,VFKMM0Y1EL
ESP,Acoustic,Stratocaster,383.23,Q2T7NLPM5I
Fender,Electric,Stratocaster,974.28,UNJNKM8MYU
Schecter,Acoustic,JEM,865.29,9NWLSSWRZG
ESP,Electric,JEM,708.93,KFFUJA7DVN
Fender,Classical,SG,244.38,8COOM2IPUP
ESP,Electric,SG,1685.88,N4SR0RI8N1
Gibson,Acoustic,Warlock,837.75,KU9TMKY3DW
Schecter,Electric,Explorer,261.43,HPABCZARQY
Gibson,Electric,Flying V,197.44,B65GH3G8XA
Epiphone,Electric,PRS Custom 24,1807.14,9063GL61SD
PRS,Acoustic,JEM,1537.51,B9JKBK0LIV
Ibanez,Electric,Les Paul,1319.9,OVTJIM0QTX
Fender,Bass,PRS Custom 24,1884.65,FT7ICO1JTR
Ibanez,Classical,Flying V,91.08,0MY8F52E1E
ESP,Classical,PRS Custom 24,1537.46,2QXCZ6XT78
Ibanez,Acoustic,PRS Custom 24,1873.33,JZITAG2JR3
Fender,Acoustic,Les Paul,1307.08,HBAEIXED00
Fender,Electric,JEM,502.52,B9PX6WVSWZ
Jackson,Bass,Flying V,1974.46,2LIY8JXPLS
Epiphone,Electric,Stratocaster,651.16,AJL84TLBEN
Fender,Acoustic,Explorer,1487.29,6DWCHOND1K
Fender,Electric,Les Paul,1766.19,ZM50XWFNQQ
Ibanez,Bass,SG,1368.01,OJE6PTZAG6
Fender,Electric,PRS Custom 24,1814.83,44WB8GK6U3
ESP,Classical,Stratocaster,1479.96,59320LA0KQ
PRS,Classical,Warlock,1209.31,S7XV7TTKAU
ESP,Electric,Telecaster,447.52,1ZT4CBV6RN
Epiphone,Acoustic,Stratocaster,1134.86,W3IYUB1VYO
Schecter,Acoustic,Warlock,1843.66,7XCJCJNBAH
Jackson,Classical,PRS Custom 24,1269.57,RKQSECDDQU
Fender,Acoustic,Explorer,156.31,JHER3MZTDH
Ibanez,Classical,PRS Custom 24,635.81,CM8DDO7D73
PRS,Classical,Warlock,1790.35,X250Q673XF
ESP,Acoustic,Warlock,1162.22,2LMP9YLVIG
Fender,Bass,Telecaster,1098.61,MIWUB2GU6C
Epiphone,Classical,Flying V,1579.18,RN7VMO8T2Z
Gibson,Classical,Les Paul,873.75,OMJ24GYYGO
ESP,Acoustic,Warlock,1734.67,OJIT3S86GZ
Gibson,Acoustic,JEM,1830.93,9YCEA3989Y
Fender,Classical,Warlock,1674.36,WUJLFVVICD
Gibson,Electric,Explorer,1526.79,WKKA62HE2I
Schecter,Bass,SG,756.23,PM86CMFQKT
Fender,Classical,Warlock,1354.56,IO5ITBUUCT
ESP,Bass,Les Paul,498.73,OOBKE5JX80
Schecter,Acoustic,Explorer,1718.7,Z7AZPR3HMV
Epiphone,Bass,JEM,273.37,L7TRNF7Q36
Jackson,Bass,PRS Custom 24,1005.87,TLN9WZENX6
Epiphone,Bass,JEM,1572.04,N0PGE8GJXW
Gibson,Classical,Telecaster,1599.83,FAIIPLBBVA
ESP,Electric,Flying V,116.71,RRKWYBICP3
Ibanez,Bass,Telecaster,1628.37,FV9MFHLWOW
Jackson,Classical,SG,1238.89,UX0QWCRLCN
Epiphone,Electric,PRS Custom 24,1810.29,1CT70NH2NE
Ibanez,Classical,Flying V,1614.15,85SZ8ZBZN3
Jackson,Bass,Telecaster,818.63,5MAUHN41J7
Ibanez,Bass,Explorer,1219.73,R052OD0FMX
ESP,Electric,Les Paul,1509.54,H01N8O03M7
Jackson,Electric,Flying V,1645.06,BP224M5HUY
Fender,Acoustic,Les Paul,834.04,SLR6XFTR31
PRS,Classical,PRS Custom 24,1149.48,NX6DOZM854
Gibson,Classical,Explorer,1695.57,WHNCZJOJMB
Gibson,Acoustic,Les Paul,266.98,EZTWSN01IJ
Fender,Acoustic,SG,765.34,758WJI4DFI
Epiphone,Classical,Telecaster,636.49,3K18M515QJ
PRS,Electric,Flying V,234.66,5UICT7AGS6
PRS,Electric,JEM,855.1,NZ8M9GPHNX
Schecter,Electric,Warlock,624.67,XHLNHJRPZ2
Ibanez,Bass,SG,1531.99,IWG5E68FWA
PRS,Bass,Stratocaster,131.58,2VRM4G93ZW
ESP,Acoustic,Les Paul,1486.3,IVBSOJ8QB3
Gibson,Acoustic,JEM,1258.26,2ICDHD4S0V
Ibanez,Electric,Stratocaster,1235.59,DMOHUKJJ47
Epiphone,Classical,Warlock,406.45,W4LUH5KB85
PRS,Electric,Flying V,1700.82,BZTZ71MZCL
Jackson,Electric,Warlock,1067.2,0SI2E6P9R4
Gibson,Bass,Explorer,1545.63,KKJEELOC07
Gibson,Bass,Explorer,244.06,Y9XQDDLH3M
PRS,Acoustic,Explorer,398.74,65UJSE9BRQ
ESP,Electric,Flying V,1877.6,F61M3OJDJB
Ibanez,Classical,JEM,1669.11,LEPBF1YUDO
Ibanez,Acoustic,SG,772.84,PTKU357BD1
ESP,Bass,Stratocaster,1539.14,W0Q886ZMJ5
PRS,Classical,PRS Custom 24,1838.03,L8RBHYFM6K
Ibanez,Classical,Telecaster,318.15,XL03J7EUEM
Gibson,Classical,Telecaster,1770.83,BH3CJ7WS80
Ibanez,Classical,Explorer,1063.61,LCJHYMDSYC
Fender,Electric,PRS Custom 24,1502.07,OX0FKC5IGN
Ibanez,Electric,Explorer,667.87,E49XWJNGQW
Gibson,Bass,Telecaster,1533.96,R7KIR5ZXVR
Gibson,Acoustic,Explorer,125.24,G97N3CYF4P
Epiphone,Acoustic,Telecaster,1205.78,P8YKB5A9VV
Gibson,Classical,Les Paul,444.82,5DAVPN41FC
Epiphone,Classical,PRS Custom 24,543.25,XFL7NIOXRV
Schecter,Acoustic,Les Paul,292.3,YMHZEKDLZW
Jackson,Bass,Stratocaster,859.54,5AKR1CHA81
ESP,Electric,SG,1039.4,LGICL3055J
ESP,Acoustic,SG,1125.02,ED8E3B4NO2
Fender,Electric,JEM,1764.59,YTBUJAP58X
Jackson,Acoustic,SG,1190.72,VWZDB6LEVY
Ibanez,Acoustic,Les Paul,211.38,CU3ZH4MO9V
PRS,Bass,PRS Custom 24,1431.04,IMIGTOL7OD
Fender,Electric,Warlock,531.35,VNF0NCQG2G
Epiphone,Electric,JEM,434.11,H6XFXYPX29
PRS,Electric,Flying V,1297.54,AVSZ61P5U0
Schecter,Classical,Flying V,809.91,TYJRAK3WR1
Schecter,Bass,Flying V,1715.95,NU4D3AO89A
Epiphone,Electric,Warlock,50.21,DBKQZ2DD56
Jackson,Classical,Explorer,804.76,M2DZ029CNX
Schecter,Classical,JEM,1385.87,DO1YNGF0WC
PRS,Classical,JEM,765.87,ISUU1V0O6B
Ibanez,Electric,SG,438.47,4HMP37OQKI
Schecter,Acoustic,SG,1444.73,B9OD6C8WW3
Gibson,Electric,SG,1144.15,26QWTWB0Y2
Epiphone,Bass,Warlock,531.25,9FKAQK8YCX
Jackson,Classical,PRS Custom 24,603.9,YWZMMZTUVW
Fender,Acoustic,Telecaster,1795.6,9Z5PWSLTYJ
Schecter,Classical,Stratocaster,1557.61,R8NFFQOCJO
Schecter,Electric,PRS Custom 24,373.97,RU9WJ62TVA
Jackson,Classical,PRS Custom 24,1355.57,VR3QNYRF7K
Epiphone,Electric,Warlock,395.53,9CIT327R0S
Epiphone,Acoustic,Les Paul,1297.21,14B4HQW6K0
Gibson,Classical,JEM,1676.36,NC8MDI2Y89
Gibson,Bass,JEM,1393.09,AA44CVFIXP
Jackson,Bass,Telecaster,552.55,C7R80H0SPT
Fender,Acoustic,PRS Custom 24,777.62,L64HPRT0OO
Jackson,Classical,PRS Custom 24,1262.26,1L3EDROZ8T
Fender,Bass,Stratocaster,1597.69,WBRANUH547
PRS,Acoustic,PRS Custom 24,354.96,SXKPVDN1KH
ESP,Bass,Les Paul,372.72,Y0LY9EL0OF
Gibson,Acoustic,SG,1944.65,JPFIVVEG7B
Schecter,Classical,Flying V,1618.49,I7B3R6XPOF
Gibson,Classical,JEM,414.19,YDJX0TI9J4
PRS,Acoustic,Stratocaster,577.18,XFH02RH8ZN
PRS,Electric,Telecaster,313.38,CWRRJDEYNX
Schecter,Classical,Warlock,487.55,CQ36K18MIR
ESP,Bass,Flying V,1879.51,F0IUP6Q40O
Jackson,Electric,Explorer,702.63,ZA8J57UTAL
Ibanez,Electric,PRS Custom 24,1703.17,AXWD0PEYV9
ESP,Bass,Stratocaster,1368.63,HWYNRTTN2K
PRS,Acoustic,Telecaster,672.18,HJH4J073NG
ESP,Classical,Les Paul,774.56,5Z6VJKL14B
PRS,Classical,Les Paul,1888.63,9Z7NTOOF9D
PRS,Bass,SG,820.39,TJ63Y47D1C
Gibson,Bass,Flying V,1160.46,8KPITMVBM3
Fender,Bass,Explorer,1149.73,DYUHHFK4SQ
Gibson,Electric,JEM,1949.41,7OD95YVS59
PRS,Bass,Les Paul,1368.46,S298UID9XG
Fender,Bass,Les Paul,1280.3,4L0CMCQTNJ
Jackson,Acoustic,JEM,1659.28,FYFA3MTT0N
ESP,Electric,PRS Custom 24,1360.11,GEYMGD3B3W
Epiphone,Bass,JEM,1990.22,MIP80W6FMB
Fender,Bass,SG,938.38,LY7AM4RKMV
Fender,Acoustic,SG,1793.77,1R9X11GMFC
Fender,Bass,Explorer,543.35,5F54XN8DK6
Gibson,Classical,JEM,71.38,ZG7EOCBM59
Ibanez,Acoustic,JEM,134.39,HM40L54WF7
ESP,Bass,Telecaster,1889.83,AS6X9PHYT0
Ibanez,Classical,Telecaster,52.31,Z88YD0B72D
Jackson,Acoustic,JEM,552.55,LHS2G8OYVP
Fender,Acoustic,Warlock,80.48,UUAWVBKMLC
PRS,Classical,Flying V,1549.92,U7Z319KMJI
Gibson,Classical,Flying V,1153.49,5QXZ4LX9ZO
Schecter,Acoustic,JEM,770.04,LOBJ21KRXR
Epiphone,Acoustic,Les Paul,517.08,PU3LHJTD9R
ESP,Bass,Les Paul,1319.08,I1AMZHE9BY
Epiphone,Electric,PRS Custom 24,1354.61,I99YK2LJN5
Ibanez,Acoustic,Flying V,1328.58,94N2BTQQDF
Gibson,Acoustic,SG,1225.98,12ZDHAN25Y
Gibson,Bass,Telecaster,1086.43,1E3ZYUPQDO
Fender,Bass,SG,1448.38,473KDPK5WN
Epiphone,Bass,JEM,1283.94,CYMPLX4NEL
PRS,Bass,Les Paul,556.99,XZ1F3NJ504
Ibanez,Electric,Telecaster,1402.81,LU5L34U7P5
Epiphone,Acoustic,Stratocaster,408.69,XD2EM5J2W7
Jackson,Bass,PRS Custom 24,128.79,H3QH74DRZS
Epiphone,Classical,PRS Custom 24,1145.51,KMWJOARJ9V
Ibanez,Bass,PRS Custom 24,672.42,7KXL9VOWLU
PRS,Bass,Explorer,743.75,P8ESDGSP3C
Schecter,Bass,Warlock,648.57,B9CGRJSJ0V
Epiphone,Electric,Flying V,842.95,BIG1OE3TZU
Fender,Bass,Les Paul,611.8,PCOUVJ60HZ
Epiphone,Classical,Stratocaster,1020.19,5EB3D3KSOY
PRS,Classical,Flying V,256.41,DW15SY4ISA
PRS,Acoustic,SG,1609.9,KKX9JXZLXI
Fender,Classical,PRS Custom 24,1324.99,Z11QGR56TQ
Gibson,Classical,Warlock,1239.51,BPTA8Q8SST
Gibson,Classical,Telecaster,1444.98,GIHDIHQ5NH
Epiphone,Bass,Explorer,320.99,LPRE9FVCGB
PRS,Acoustic,Explorer,946.89,RKSZJOJ8SK
Gibson,Bass,SG,671.04,500QZ102UB
Jackson,Acoustic,Telecaster,577.19,ADWCS80DKH
Ibanez,Classical,Les Paul,1096.41,BH58BLCQLD
Gibson,Acoustic,Explorer,1588.14,DFXHRV6G9F
Jackson,Acoustic,Explorer,453.18,LJF48JIL5H
Jackson,Classical,Stratocaster,772.85,G79KH6DNEO
PRS,Bass,SG,1246.49,E6WGPPBVO3
Jackson,Acoustic,JEM,1522.08,3EOYNRPS3J
Schecter,Electric,Les Paul,1982.63,L18X4NM3GF
Schecter,Classical,Explorer,1631.74,WN9HRSV652
Gibson,Classical,Warlock,1598.02,WKPLW94C5E
Ibanez,Electric,Warlock,1353.19,LYIIOYL7E5
Schecter,Acoustic,Les Paul,1595.74,MWPTG16DOT
PRS,Classical,Les Paul,1873.62,IN2HK1821Q
ESP,Classical,SG,1458.69,51ZUK5CABU
Schecter,Acoustic,Warlock,1564.09,EP002V1G3L
Ibanez,Classical,Warlock,1535.51,91GI8ZXKTK
Epiphone,Classical,Stratocaster,525.57,VGD76MKXG5
Fender,Acoustic,Explorer,1853.61,YIVDKGGYLV
PRS,Classical,JEM,1352.27,BL5SG8B0QP
PRS,Bass,JEM,180.42,3KYFRZQPGD
PRS,Classical,Telecaster,134.25,S2A4GLYYFK
Fender,Classical,Flying V,1163.76,TQHDYMIMZX
PRS,Classical,Telecaster,1212.71,ZKPDWG1KE1
Jackson,Electric,JEM,1899.37,TOF53AP9EG
Fender,Bass,Flying V,674.01,T62ORPS53B
Schecter,Acoustic,Les Paul,1156.17,HEI411RQ8J
Schecter,Classical,Stratocaster,1014.13,7EO6FBAMLU
Jackson,Classical,Flying V,1245.85,6MLLN87VD6
Schecter,Classical,JEM,1441.78,FNAIJSVYG1
Schecter,Electric,Stratocaster,885.36,EN361G8VIT
Fender,Acoustic,PRS Custom 24,1324.78,CMSW6DEQAW
Fender,Electric,Explorer,1285.91,QWR6MW3JYJ
Jackson,Classical,Stratocaster,518.34,RW1FO1M91A
ESP,Classical,Flying V,1962.22,F18AH9ZWV6
Schecter,Classical,SG,1228.17,HOPCUQB6SM
Gibson,Bass,SG,918.71,NE8UB2VLKH
Schecter,Classical,Warlock,772.34,GTOTIP0H2U
Epiphone,Electric,Explorer,1344.05,K5G5RUBGNA
PRS,Electric,SG,311.41,GI8RJYMO10
Fender,Bass,Explorer,584.86,6JCM0EGUOG
PRS,Electric,Stratocaster,1632.79,7VG2QNQHGP
Ibanez,Electric,Stratocaster,1997.52,35BLL0MJUO
Ibanez,Electric,Les Paul,1326.86,D48305P4K5
Fender,Electric,Warlock,1005.52,ZFSO48PDJA
Jackson,Acoustic,SG,896.56,XZRIN20LYT
PRS,Bass,Flying V,1294.0,WOPYVOJ9V6
Schecter,Classical,Explorer,1895.38,815A79LD6H
ESP,Classical,SG,804.7,7TPZAIU7UU
PRS,Bass,Stratocaster,1364.78,FLT6ENYYSM
ESP,Electric,Stratocaster,1256.54,A2G3VLGFX3
ESP,Acoustic,Explorer,216.98,H7SGYAWH7X
Epiphone,Acoustic,Les Paul,1032.68,V1NOO8WNN8
Jackson,Classical,PRS Custom 24,661.52,SDW5SI5EVI
Gibson,Electric,JEM,941.21,T2AXYS8UWW
