MusicItemID,count,date
332,3,07/07/2020
62,13,21/02/2018
149,1,01/11/2019
93,12,22/09/2021
457,5,06/06/2019
391,6,01/08/2018
346,8,22/01/2021
213,7,13/09/2019
39,13,17/09/2020
480,5,07/06/2019
420,5,12/01/2020
436,8,26/01/2020
321,4,08/10/2020
422,14,27/06/2019
193,15,28/04/2020
423,11,09/01/2021
341,4,22/06/2019
224,5,04/09/2019
49,12,10/08/2020
448,4,23/09/2019
35,12,25/03/2019
452,9,04/06/2022
175,7,09/04/2019
104,2,23/10/2018
366,5,08/10/2020
449,11,26/08/2020
189,11,06/11/2018
56,3,19/04/2018
377,8,26/11/2020
223,14,13/01/2019
88,15,28/12/2019
220,5,18/09/2019
318,10,04/10/2019
418,5,26/03/2020
83,14,16/07/2020
132,8,11/04/2020
276,10,04/08/2020
252,3,26/07/2018
121,3,26/01/2020
67,1,05/10/2020
459,7,06/01/2022
421,6,02/06/2019
307,6,13/07/2019
115,7,05/09/2019
30,2,20/02/2022
247,15,16/05/2020
120,12,07/06/2022
262,10,16/01/2021
65,13,04/08/2021
91,6,02/03/2019
256,14,10/04/2020
41,4,04/01/2021
251,5,21/12/2022
363,9,07/07/2019
381,4,12/03/2020
51,5,02/04/2022
104,11,06/03/2021
373,3,06/05/2019
264,12,14/08/2018
253,7,06/09/2019
322,3,11/01/2022
127,3,17/08/2019
368,8,12/10/2019
385,3,25/11/2022
53,2,13/04/2018
478,11,26/04/2022
136,6,05/06/2020
223,8,19/08/2018
88,10,10/11/2020
64,6,18/02/2019
230,1,21/07/2018
100,5,09/01/2021
64,2,08/12/2020
297,3,21/10/2022
179,2,05/03/2019
14,12,14/12/2021
299,11,03/01/2022
469,3,22/05/2021
451,15,27/11/2020
322,13,14/05/2019
103,12,17/12/2021
220,4,10/07/2019
100,6,09/08/2019
76,10,18/04/2019
318,4,05/09/2019
43,2,20/09/2021
179,9,05/04/2021
317,12,01/03/2021
343,1,01/12/2021
113,2,27/08/2018
243,1,04/02/2021
447,2,05/05/2021
237,3,23/02/2022
78,15,06/11/2021
47,1,12/01/2018
14,4,01/10/2022
430,3,04/09/2021
6,3,04/10/2019
109,6,23/12/2022
462,14,08/06/2018
31,6,19/10/2019
97,1,20/12/2022
189,7,09/10/2018
142,15,22/10/2022
2,13,12/01/2021
269,12,11/11/2021
175,13,14/05/2022
318,7,24/12/2022
275,1,13/09/2018
18,1,15/05/2021
79,10,28/12/2021
53,8,05/11/2018
199,1,11/10/2019
52,15,10/04/2019
195,7,02/06/2018
139,11,07/09/2018
56,13,02/06/2021
462,13,26/04/2018
148,9,18/04/2022
324,8,07/04/2019
33,12,26/12/2018
49,11,09/09/2022
305,8,14/12/2019
245,5,21/09/2019
187,14,08/07/2022
202,10,05/07/2018
373,6,27/10/2021
315,12,11/12/2020
318,10,20/02/2019
282,1,16/05/2021
452,12,26/12/2020
77,14,14/10/2018
490,7,09/11/2022
145,7,13/12/2019
159,11,15/05/2021
23,8,16/04/2021
208,1,03/05/2020
431,5,26/10/2021
285,1,17/02/2018
99,12,18/07/2021
421,8,11/06/2019
440,13,13/03/2022
471,8,05/08/2019
421,2,17/06/2022
325,6,01/10/2019
433,11,07/05/2021
330,3,02/03/2021
396,8,25/10/2020
117,5,20/12/2019
72,7,05/09/2019
444,10,11/11/2018
429,3,07/09/2019
389,15,16/10/2020
392,9,22/07/2020
449,13,26/04/2021
420,9,11/06/2021
354,9,21/12/2020
429,3,12/02/2022
374,6,27/03/2021
360,1,10/09/2018
112,7,24/04/2022
416,3,15/02/2021
457,11,26/10/2021
355,15,02/11/2019
296,11,16/09/2022
108,14,11/05/2018
178,4,07/02/2020
359,4,27/02/2022
437,10,28/08/2018
216,1,23/09/2022
63,9,25/05/2021
498,14,14/12/2021
219,13,06/07/2022
216,10,21/03/2018
330,5,23/04/2018
363,2,04/03/2022
115,13,21/06/2021
89,3,07/12/2021
275,10,13/09/2018
246,5,17/09/2018
260,6,15/06/2018
123,12,28/04/2021
118,7,04/12/2018
95,2,02/11/2019
248,4,08/06/2021
232,4,11/08/2022
357,2,15/09/2022
146,11,10/01/2021
214,5,18/08/2022
78,6,28/03/2021
352,14,20/05/2018
405,10,21/06/2021
22,7,16/02/2021
401,11,25/06/2021
39,1,17/01/2022
113,12,10/07/2019
462,13,20/01/2020
206,8,19/08/2020
445,13,07/02/2018
1,9,24/06/2018
355,1,17/08/2021
194,15,25/12/2021
497,5,24/09/2020
159,15,26/07/2022
230,9,02/07/2021
54,13,24/11/2020
276,13,14/10/2020
181,14,05/03/2018
227,5,25/06/2022
